id|name|name_en|color
8|Absence d'aménagement|Missing of bicycle or pedestrian way|paleturquoise
3|Aménagement mal conçu|Bad designed way|seagreen
4|Défaut d'entretien|Maintenance issue|darkgreen
5|Absence d'arceaux de stationnement|Missing bicycle parking|turquoise
2|Véhicule ou objet gênant|Annoying vehicle or object|crimson
9|Accident, chute, incident|Accident, incident or drop |black
6|Signalisation, marquage|Traffic sign or labeling|yellowgreen
7|Incivilité récurrente sur la route|Antisocial behaviour on the road|lightcoral
10|Vol ou dégradation de vélo|Bike theft or vandalism|blue
100|Autre|Other|grey
50|COVID - Distanciation physique impossible||orange
51|COVID - Aménagement fermé||red
52|COVID - Voirie en période de confinement||green
11|Éclairage public insuffisant|Insufficient public lighting|black
